"year","Austria","Belgium","Denmark","Finland","France","Germany","Italy","Netherlands","Norway","Sweden","Switzerland","UK","12 W. Europe","Ireland","Greece","Portugal","Spain","14 small WEC","30 W. Europe","Australia","N. Zealand","Canada","USA","W. Offshoots","Albania","Bulgaria","Czecho-slovakia","Hungary","Poland","Romania","Yugoslavia","7 E. Europe","Bosnia","Croatia","Macedonia","Slovenia","Serbia/Montenegro/Kosovo","F. Yugoslavia","Czech Rep.","Slovakia","F. Czecho-slovakia","Armenia","Azerbaijan","Belarus","Estonia","Georgia","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Moldova","Russia","Tajikistan","Turk-menistan","Ukraine","Uzbekistan","F. USSR","Argentina","Brazil","Chile","Colombia","Mexico","Peru","Uruguay","Venezuela","8 L. America","Bolivia","Costa Rica","Cuba","Dominican Rep.","Ecuador","El Salvador","Guatemala","Haïti","Honduras","Jamaica","Nicaragua","Panama","Paraguay","Puerto Rico","T. & Tobago","15 L. America","21 Caribbean","L. America","China","India","Indonesia (& Timor until '99)","Japan","Philippines","S. Korea","Thailand","Taiwan","Bangladesh","Burma","Hong Kong","Malaysia","Nepal","Pakistan","Singapore","Sri Lanka","16 E. Asia","Afghanistan","Cambodia","Laos","Mongolia","North Korea","Vietnam","24 Sm. E. Asia","30 E. Asia","Bahrain","Iran","Iraq","Israel","Jordan","Kuwait","Lebanon","Oman","Qatar","Saudi Arabia","Syria","Turkey","UAE","Yemen","W. Bank & Gaza","15 W. Asia","Asia","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cameroon","Cape Verde","Centr. Afr. Rep.","Chad","Comoro Islands","Congo 'Brazzaville'","Côte d'Ivoire","Djibouti","Egypt","Equatorial Guinea","Eritrea & Ethiopia","Gabon","Gambia","Ghana","Guinea","Guinea Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Rwanda","S. Tomé & P.","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","Sudan","Swaziland","Tanzania","Togo","Tunisia","Uganda","Zaire (Congo-Kinshasa)","Zambia","Zimbabwe","3 Small Afr.","Total Africa","...182","World Total"
1968,63925,90293,57613,37442,523967,755463,482462,138627,36475.8647723679,95229,94272,574775,2950543.86477237,16804,46027,44421,185747,12261,3255803.86477237,134913,29095,242703,2983081,3389792,3809.88845203165,36558.6972013849,89122.7303182579,50641.3479008102,138308.769086943,54019.2492795389,63983.3177610334,436444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237966,153002,244921,46300.6898635099,58398,201669,45980,13181,102916,866367.68986351,8604,5730,17230,5628,14973,7396,13877,3860,4154,6218,5360,5109,4202,14606,7400,124347,10942,1001656.68986351,522728,418907,111662,813984,62712,55880,54695,30423,39678,16148,18557,20217,7265,53195,7123,17362,2250536,8508,5214,2001,876,21268,28329,8399.67278991098,74595.672789911,731.551711966114,96759,31740.3922931143,19320.0800099083,3696.45816041651,14089.3080357143,6380.59424225964,2274.44548393936,3473.55157159488,39547.1674515648,19394.4165281406,99650,5036.83275724541,7052.35745433468,1859,351005.155700199,2676136.82849011,25995.8351936966,8947,2561.12237288136,313.053746454601,3864.89572439249,1520.45909190612,6109.4005468216,153.185854255971,1494.03334968122,1756,217.513544018059,1947.50330396476,8714.29535095716,239.296755563105,37051.9287833828,375,17161.5833333333,2571.79781734635,426.554016620499,11528.7404718693,1589.65297887491,485.35114822547,9028.20985958486,621.66755521706,1823,15395,7597.37118320611,1868.36857041504,3074.75592747559,1256.32029652352,2337.77826495459,23071,13757.8653942742,2443.70338248049,4060.92611764706,36665.2979955457,2193.3130037029,96,6106.72527472528,128.921093347086,2791.38388625592,4388,82370.6799065421,12047.6257095159,685.863682793203,7282.38640776699,1858.56474820144,8491.30289149728,7498.05351170568,15345.4287931704,4378.5519412382,5168,105,418961.268782032,NA,12416760.651908
1969,67945,96302,61283,41048,560280,805410,510051,147552,38121.9564989153,99919,99584,585207,3112702.95649892,17815,50585,45364,202472,13144,3442082.95649892,143118,32099,255497,3076517,3507231,4058.23959129123,38339.596220427,90760.3015075377,52154.5028234716,136911.710813338,56506.2168587896,71131.4321851453,449862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255392,166080,266292,48023.4490295193,62116,213924,47166,13984,106612,924197.449029519,8989,6111,17018,6244,15792,7653,14532,3986,4187,6681,5716,5507,4365,15899,7604,130284,11558,1066039.44902952,567545,446872,125408,915556,65632,64350,58980,33145,40227,16815,20652,21382,7590,56642,8098,18053,2466947,8645,5292,2063,927,24743,30702,8805.27381411492,81177.2738141149,778.678432756795,109304,32817.6505053696,21755.0188258608,4030.63291330265,14473.9419642857,6519.73492667029,2858.35479168875,3706.18952270081,42577.9976154993,23030.8696271669,104929,5554.3000974918,7260.21326562746,1931,381527.582488421,2929651.85630254,28483.7652659225,9255,2637.24915254237,343.954116253186,3941.69547831436,1500.88966878701,6411.09933925723,159.768830373546,1564.99264345267,1876,221.163656884876,2050.47246696035,9098.35551504102,256.402242228639,39597.9228486647,364,17801.25,2779.86789201608,472.538781163435,11938.7833030853,1636.70733444102,512.86764091858,9589.73504273504,630.957730388424,1955,17389,7882.98664122137,1987.9368570415,3059.59274755927,1236.72673824131,2452.80989664892,24356,15394.3571069814,2528.83239375542,3939.82494117647,46501.7454342984,2434.7908952298,101,5709.18681318681,128.921093347086,3044.77251184834,3840,87436.9936915888,12781.1893155259,714.666357136224,7416.87184466019,2060.36330935252,8793.16361294017,8324.84949832776,16775.6072953046,4354.9296956978,5812,114,451653.5576405,NA,13101912.8194715
1970,72785,102265,62524,44114,592389,843103,521506,155955,38879.4445956961,104647,105935,599016,3243118.4445957,18289,54609,49498,214070,13713,3593297.4445957,152220,31644,262098,3081900,3527862,4320.85103406053,40522.6337276399,92592.1608040201,51973.5821261969,144018.485509505,57778.6188760807,74488.6679224973,465695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351818,174972,292480,49010.9496501209,66308,227970,50848,14638,114807,991033.949650121,9459,6515,16380,6906,16899,7881,15364,4174,4296,7481,5771,5839,4636,17280,7873,136754,12210,1139997.94965012,636937,469584,138612,1013602,68102,69877,62842,36868,42403,17575,22548,22684,7787,62522,9209,18912,2700064,8819,4785,2127,982,27184,31295,9640.22718323331,84832.2271832333,831.605365337099,120865,32690.9142451042,23519.6247832549,3600.31291028446,22944.25,6950.40847365562,2957.29667126047,3755.7681024447,46573.1828315946,22155.4272144384,110071,6122.61029867943,8730.60564961017,2044,413812.006545664,3198708.2337289,31335.7826657912,9909,2691.62542372881,378.004523749686,3949.99815441403,1902.48826497039,6604.58008658009,166.417636252296,1637.89602746444,1912,238.335778781038,2158.39207048458,10086.7894257065,326.984881943265,42105.3412462908,354,18811.25,3020.24698449167,425.894736842105,12515.2203266788,1693.95680037978,540.384133611691,10290.6459096459,644.634932724042,2083,18222,8296.03053435115,2017.14437743881,3248.29009762901,1365.01789366053,2443.22392734106,25713,16216.1451531894,2539.84908933218,4060.92611764706,60813.656792873,2701.61729470704,106,6196.92307692308,139.051057246003,3148.8672985782,4174,91986.336682243,12245.8861435726,926.486024700529,7847.22524271845,2112.15827338129,9314.55940452333,8450.00668896321,16736.953822274,4562.46799580273,7072,123,488561.692999627,NA,13765940.3209743
1971,76506,106103,64191,45036,621055,867917,531385,162539,40874.1530031483,107112,110253,611705,3344676.15300315,18923,58496,52781,226319,14651,3715846.15300315,158992,33285,276694,3178106,3647077,4602.13433903584,41843.9459030583,95756.2814070352,54292.6565185367,154283.826737301,65933.5590778098,83077.5960172228,499790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1387832,183458,322159,53399.9950881303,70250,237480,53131,14498,116494,1050869.99508813,9820,6945,17656,7637,17872,8245,16221,4445,4462,7481,6055,6312,4839,18375,7954,144319,12897,1208085.99508813,668646,474338,146200,1061230,71799,76695,65886,41674,40552,18149,24144,24359,7693,62824,10362,18752,2813303,8398,4546,2193,1041,36229,32889,10440.7331446288,95736.7331446288,897.582774444052,135829,34711.6535060013,26106.7472752044,3681.52297592998,24537.1361607143,7589.79304725693,2982.56490512032,4664.96298020955,53289.2269448584,24352.4509617668,120046,7147.37640698396,10252.7652834421,2169,458257.783221932,3367297.51636656,28665.8089297439,9943,2704.31322033898,448.055362079489,4105.67333128268,2052.23689405571,6801.34016860333,154.831598285364,1590.26581657675,1948,280.477990970655,2332.64757709251,10592.9152233364,361.105826397146,43860.5341246291,325,19602.4166666667,3330.41355542791,474.846260387812,13513.5854809437,1746.50083076193,519.33235908142,10943.7673992674,584.506854531607,2186,17142,8621.1927480916,2307.39411138702,3361.17154811715,1378.08026584867,2563.04854368932,27154,17321.3083877449,2626.98113616652,4291.01835294118,67969.6124721604,2733.6364626443,111,6186.9010989011,161.827746260959,3120.10426540284,4282,96501.214953271,13091.7973288815,941.687436159346,8176.7145631068,2262.1618705036,10302.4672201546,8700.32107023411,17803.7896779201,4560.78069254984,7692,132,510563.787422597,NA,14336492.4518804
1972,81256,111679,67578,48473,648668,903739,546933,167919,42955.9387252974,109915,113781,633352,3476248.9387253,20151,65775,57011,245019,15548,3879752.9387253,163453,34711,291314,3346554,3836032,4901.05428803794,43825.9141661858,99142.445561139,55460.4173827645,165521.034590215,70174.8991354467,85945.234876211,524971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395732,189183,356880,52752.164209906,75637,257636,54837,13992,117982,1118899.16420991,10321,7556,18507,8581,18972,8712,17412,4603,4635,7706,6248,6645,5088,19732,8414,153132,13544,1285575.16420991,688186,472766,162748,1150516,75710,82304,68666,47224,35732,18284,26639,26195,7934,63323,11752,19147,2957126,8240,4301,2261,1103,37854,35815,11005.3156183016,100579.315618302,968.87704435816,157909,33430.2090966519,29342.4621005697,3800.07100279182,25502.9017857143,8514.08473655622,3261.73322378883,5262.95692665891,61469.0242622951,30446.8769888388,127931,8342.7485597802,11070.2087317739,2306,509558.154459778,3567263.47007808,34685.3860801051,10091,2941.75627118644,592.057085412702,4271.72685327592,1831.01732836148,7096.48029163819,147.656154317208,1557.21628249142,1815,257.996613995485,2522.74449339207,11179.4257064722,384.603363342959,44689.9109792285,284,20604,3707.78288340034,509.128808864266,13109.4852994555,1782.57583669594,552.318997912317,11509.275030525,696.50507743082,2269,15241,8511.34064885496,2542.87974459028,3534.70571827057,1395.80777096115,2817.07673034764,27807,17880.9743847313,2783.21790980052,4068.99952941176,70530.4394209354,2741.64125462862,109,6587.78021978022,171.894791129448,3085.86255924171,4717,98362.3098130841,12814.232721202,1056.69811495961,8724.7427184466,2340.19064748201,12129.3126252505,8757.21070234114,17826.9817617385,4979.23189926548,8342,143,529090.581123957,NA,15018417.1541372
1973,85227,118516,70032,51724,683965,944755,582713,175791,44851.6572110112,114064,117251,675941,3664830.65721101,21103,68355,63397,266896,16452,4101033.65721101,172314,37177,312176,3536622,4058289,5218.21800451248,45556.5458742066,102445.343383585,58338.7012030444,177973.075724525,72411.242074928,88812.8737351991,550756,NA,NA,NA,NA,NA,NA,NA,NA,NA,16691,24378,48333,12214,28627,104875,11781,18998,24643,20134,872466,13279,11483,238156,67012,1513070,200720,401643,49816.4966962854,80728,279302,57729,14098,126364,1210400.49669629,11030,8145,20209,9617,21337,9084,18593,4810,4866,8411,6566,7052,5487,20908,8553,164668,14392,1389460.49669629,739414,494832,186900,1242932,82464,96231,75511,53284,35997,18352,29931,29982,7894,67828,13108,19922,3194582,9181,5858,2331,1170,42819,38238,12021.6181127349,111618.618112735,1045.72985057066,171466,39041.8090650663,30838.9349145405,3998.89564626877,23847.3035714286,8914.94242259642,2809.03607017916,6227.83236321304,73600.9552309985,27845.8028971741,133858,9739.2324736329,12430.6855954647,2455,548120.160101134,3854320.77821387,35814.0567957978,10784,3010.63288135593,721.958640002872,4045.47892956014,1962.89822329458,7201.41900205058,146.602878138396,1627.20353114272,1726,228.795711060948,2726.70264317181,12063.6572470374,412.422286393749,45924.3323442137,289,21285.75,4086.44457208501,532.53324099723,13483.8722323049,1860.99976263945,558.452192066806,12106.6422466422,878.179614115258,2212,15410,8291.63645038168,2756.45973749557,3448.7810320781,1309.03629856851,3169.36110241152,28800,18894.0406830738,2895.38790112749,3376.70447058824,76585.4788418708,2825.69157046395,106,6216.96703296703,187.05827746261,3180.36966824645,4625,102498.076168224,11783.2784641068,1113.50338935834,9007.16213592233,2245.34532374101,12050.9072430575,8704.11371237458,19373.1206829647,4930.30010493179,8594,154,548221.815265489,NA,16015151.7473867
1974,88588,123494,69379,53291,704012,952571,610040,182763,46731.9277353357,118212,118957,666755,3734793.92773534,22002,65868,64122,286732,16510,4190027.92773534,176586,39390,324928,3526724,4067628,5356.84189385886,46985.5737160992,106164.572864322,59851.8561257059,188420.641944531,76479.0727665706,100269.440688913,583528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1556984,213739,433322,50301.9634910869,85370,296370,60773,14541,129038,1283454.96349109,11598,8583,21272,10171,22585,9675,19779,5114,4826,8095,7505,7221,5945,20919,9011,172299,14585,1470338.96349109,751924,500146,196374,1227706,85398,104605,78894,53903,40817,19323,30629,32222,8393,70141,13994,20570,3235039,9680,5007,2403,1243,44038,36744,12664.0162850324,111779.016285032,1135.87480880104,186655,41132.9573594441,32940.5190116423,4354.5397268543,20799.4977678571,10465.3671917436,3132.04325241175,5661.11105937136,84699.6486438152,34563.1398717644,144829,12893.7495346982,13152.2253939921,2632,599046.673622395,3945864.68990743,37998.5807616546,10242,2784.06508474576,873.010447707608,3968.67917563826,1946.73217810923,7522.79380268854,142.587262706675,1579.57332025503,1963,279.399548532731,2947.4922907489,12411.9908842297,412.422286393749,47679.5252225519,282,21546.6666666667,5699.31074095348,638.182825484765,14410.9255898367,1991.96771896511,583.979540709812,12704.0094627595,931.082000507743,2375,13186,8458.61164122137,2954.52323518978,3364.54114365411,1443.39212678937,3510.86125900407,30351,17462.9959819186,3020.57762359063,3671.384,85464.6077951002,2959.10477020257,108,6477.53846153846,189.575038679732,3309.11848341232,3682,108253.684345794,12966.2323873122,1238.3149781781,9215.6145631068,2340.19064748201,13019.2137131406,8719.28428093645,20037.960419092,5331.87827911857,8810,163,573624.181986309,NA,16387995.7631202
1975,88267,121855,68921,53905,699106,947383,596946,182596,49175.0113007241,119413,110294,665984,3703845.01130072,23246,69853,61334,296824,16005,4171107.01130072,181367,38937,332269,3516825,4069398,5497.26997629006,50848.9756203116,109300.938023451,61134.7483427449,197288.924898722,79910.7024495677,100269.440688913,604251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1561399,211850,455918,43807.839128835,87347,312998,65587,15406,132728,1325641.83912884,12364,8755,22336,10659,23772,10193,20164,4995,4949,8093,7493,7338,6328,20388,9181,177008,14783,1517432.83912884,798346,544683,196374,1265661,90150,111548,82799,56560,40308,20125,30729,32489,8518,73043,14549,21047,3386929,10184,4342,2477,1319,44891,34130,12835.1936689448,110178.193668945,1015.0370631839,195684,47976.7154137713,34038.4155313352,4656.97721270656,18286.8348214286,10723.7713199348,3897.09230891551,5822.8135040745,84923.516780924,41305.7299928758,157855,13307.2714703536,14151.5579169336,2797,636441.733336437,4133548.92700538,40704.9632304662,6314,2903.69288135593,862.060316662478,3798.4743155952,1966.30160122834,7909.75529733424,147.063686466626,1608.73467385974,2301,219.255643340858,3185.11343612335,12400.0820419325,429.527773059283,52501.4836795252,276,21580.3333333333,6089.60367604825,598.296398891967,12616.2453720508,2075.88131972466,629.895615866388,12652.2376373626,854.696115765423,2017,14172,8564.06965648855,3116.99006739979,3831.23012552301,1351.02249488753,3514.45599749452,32385,14643.4128578604,3051.62467476149,3570.46635294118,82903.7808463252,3510.10128512307,116,6965.27472527473,197.188241361527,3407.7345971564,4960,110252.638084112,14611.7939899833,1282.31906397994,9693.03786407767,2326.06474820144,13952.2377612368,8541.03010033445,19040.7008149011,5124.33997901364,8890,172,580788.212374431,NA,16637924.9898094
1976,92307,128743,73382,53676,729326,993132,635737,191194,52058.1696268843,121891,108745,680933,3861124.16962688,23571,74296,65566,309546,17038,4351141.16962688,188678,39887,350467,3701163,4280195,5642.74753789627,52371.3570398153,111049.530988275,61315.6690400196,202208.999688376,83997.8119596542,103374.883745963,619961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1634589,211327,498823,45349.1009209388,91488,326267,66507,16026,142978,1398765.10092094,13118,9231,22974,11377,26075,10572,21654,5422,5467,7603,7880,7458,6758,21464,10059,187112,14983,1600860.10092094,793568,551402,213675,1315966,98090,124664,90391,64399,42098,21350,35718,36536,8893,76898,15588,21669,3510905,10694,4650,2554,1396,45652,39879,13249.8095067689,118074.809506769,1180.34309918814,229241,57735.4074542009,34480.4728758979,5789.25088659172,19465.8214285714,10988.8011950027,4396.97712816707,6262.9187427241,92250.8931147541,45834.4609356447,171601,15308.2205087299,16362.7932687205,2958,713856.360638193,4342836.17014496,43387.0732107682,5669,3028.75830508475,1024.06225541234,3761.11227314672,2121.1552972143,8060.60469355206,146.99785670545,1678.72192251103,2267,194.202595936795,3198.97466960352,13885.710118505,467.970103618142,60621.6617210683,277,22169.5,8486.93279724296,667.685595567867,12170.5466424682,2279.78352717778,660.893110647182,13161.990995116,995.855166285859,2096,17438,8300.42461832061,3269.41681447322,4351.83263598326,1458.78706543967,4086.01941747573,35950,13942.0592667002,3220.88117953166,3594.68658823529,91926.5075723831,3450.06534524069,126,7586.63736263736,217.385250128932,3305.00947867299,4944,112940.886214953,17301.52721202,1323.92292691986,10385.6378640777,2314.62949640288,15053.8333810478,8605.50501672241,17950.6728754366,5426.36726128017,8816,182,619947.887701716,NA,17449530.3283945
1977,96624,129549,74573,53808,756545,1021710,654108,196392,54279.7555568301,120149,111392,695699,3964828.75555683,25506,76843,69239,321868,18095,4476379.75555683,190653,37944,362245,3868829,4459671,5792.61901078059,51868.6839296018,116073.266331658,65164.3456911368,205974.982860704,85906.4149855908,110900.687190527,641681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1673159,224084,522154,49819.9224519473,95283,337499,66470,16205,151927,1463441.92245195,13670,10055,24038,11930,27731,11189,23344,5448,6047,7443,8556,7546,7478,22867,10698,198040,15187,1676668.92245195,843097,593834,230338,1373741,103585,137531,99304,70962,42525,22625,39908,39513,9161,79951,16797,23082,3725954,9959,5016,2633,1479,46379,41343,13471.8298559809,120280.829855981,1321.72326156018,226315,59319.6107075174,34480.4728758979,6166.36429487663,18721.6383928571,11260.4568169473,4410.06789992579,5585.59906868452,106190.989806259,45253.6385656614,179005,17978.0356288221,18167.0026987055,3137,737312.600017715,4583547.4298737,47319.2163493106,5799,3199.13728813559,1060.96269701648,4026.7979083359,2383.21539811362,8519.71155160629,147.919473361911,1815.78028445316,2098,190.303611738149,2933.63105726872,14540.6964448496,410.26159334126,68529.6735905044,281,22775.5,6731.90695002872,700.814404432133,12449.8511796733,2331.5433183005,613.650939457202,14368.6727716728,1171.59431327748,2079,18904,8498.15839694656,3437.36005675772,4648.3570432357,1439.6600204499,4353.22831193235,37711,14055.4093420392,3424.18928881179,3873.21929411765,95277.1222717149,3628.83903289044,140,7382.85714285714,233.995874161939,3352.94786729858,6185,112734.097897196,19931.7823038397,1363.92664128517,10678.1436893204,2441.08992805755,15567.3886344117,8738.2474916388,18043.4412107101,5163.14795383001,8108,193,645985.450818381,NA,18157092.5587009
1978,96273,133231,75674,54934,777544,1050404,678494,201024,56172.8609545477,119985,111847,720501,4076083.86095455,27340,81989,71189,332597,19058,4608256.86095455,196184,38097,376894,4089548,4700723,5945.28408076579,52988.9268609348,117488.793969849,66743.2899582617,213446.20754129,88701.8436599424,117013.653928956,662328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1715215,214233,548342,53913.8219255909,103366,365340,66463,17058,155528,1524243.82192559,14128,10677,25527,12207,29664,11935,24511,5710,6662,7496,7884,8285,8297,24379,11947,209309,15392,1748944.82192559,935083,625695,240853,1446165,108942,150442,109112,80608,45657,24086,43300,42970,9563,86406,18245,24523,3991650,10752,5484,2714,1567,47104,41622,14174.237313698,123417.237313698,1423.95199435228,199481,70127.3973468099,36143.623049294,7461.99154908323,20072.0379464286,11538.7381857686,4325.73897487544,6114.18300349243,112510.9595231,49201.5471384469,184113,17556.604803687,19711.1285866662,3332,743113.902102004,4858181.1394157,53387.3384766907,6037,3300.63966101695,1264.06512763437,4495.89910796678,2356.839219127,8985.37707906129,163.652786282915,1847.85777341834,2088,196.857223476298,2883.13656387665,15981.6663628077,427.367080006795,73795.2522255193,306,22523,4882.53877082137,664.718836565097,13507.642831216,2394.28245905531,694.045511482255,15662.9684065934,1350.68824574765,2161,19553,8274.06011450382,3746.77722596665,4523.6820083682,1433.59534764826,4519.78452865644,38808,14161.6750376695,3650.53230702515,4393.95435294118,89652.876169265,3985.05227619255,149,7092.21978021978,250.354822073234,3362.5355450237,6500,116077.175700935,19621.1742904841,1399.32992849847,10987.4601941748,2689.30215827338,16570.9775264815,8260.3745819398,17022.9895227008,5195.20671563484,8338,204,661780.923883042,NA,18955429.7461789
